Cidade;UF;Sigla;Latitude aprox.;Longitude aprox.;Inclina‡Æo;Dip. Lat.;Posi‡Æo;;;;Coeficientes;;;Legendas;;
Marab ;PA;MABA;-5§ 21';-49§ 7';-7,283;-3,656;EQ;;;;;;;;;
Maring ;PR;PRMA;-23§ 25';-51§ 56';-31,925;-17,303;BL;;;;;;;;;
Mau‚s;AM;AMMU;-03ø 24';-57ø 43';5,016;2,513;EQ;;;;;;;;;
Monte Carmelo;MG;MGMT;-18ø 43';-47ø 31';-29,857;-16,014;BL;;;;;;;;;
Montes Claros - Rede CEMIG;MG;MCL1;-16§ 43';-43§ 53';-30,671;-16,517;BL;;;;;;;;;
Montes Claros-CODEVASF;MG;MGMC;-16§ 43';-43§ 51';-30,703;-16,537;BL;;;;;;;;;
Mossor¢;RN;RNMO;-5§ 12';-37§ 20';-19,905;-10,262;BL;;;;;;;;;
Natal;RN;RNNA;-5§ 50';-35§ 12';-23,116;-12,048;BL;;;;;;;;;
Nova Xavantina;MT;MTNX;-14ø 42';-52ø 21';-19,515;-10,049;BL;;;;;;;;;
Palmas;TO;TOPL;-10§ 10';-48§ 20';-16,392;-8,367;BL;;;;;;;;;
Parintins;AM;AMPR;-02§ 38';-56§ 44';5,461;2,737;EQ;;;;;;;;;
Passo Fundo;RS;RSPF;-28§ 14';-52§ 23';-36,925;-20,594;ML;;;;;;;;;
Pau dos Ferros;RN;RNPF;-06§ 08';-38§ 12';-20,612;-10,650;BL;;;;;;;;;
Pelotas;RS;RSPE;-31§ 48';-52§ 25';-40,275;-22,960;ML;;;;;;;;;
Petrolina;PE;PEPE;-9§ 23';-40§ 30';-23,525;-12,280;BL;;;;;;;;;
Piracicaba;SP;SPPI;-22§ 42';-47§ 37';-34,612;-19,039;BL;;;;;;;;;
Ponta PorÆ;MS;MSPP;-22§ 37';-55§ 37';-28,059;-14,923;BL;;;;;;;;;
Porto Alegre;RS;POAL;-30§ 4';-51§ 7';-39,537;-22,426;ML;;;;;;;;;
Porto Velho;RO;POVE;-8§ 43';-63§ 54';0,569;0,285;EQ;;;;;;;;;
Pres. Prudente;SP;PPTE;-22§ 7';-51§ 25';-30,754;-16,569;BL;;;;;;;;;
Recife;PE;RECF;-8§ 3';-34§ 58';-26,973;-14,277;BL;;;;;;;;;
Rio Branco;AC;RIOB;-9§ 58';-67§ 48';0,647;0,324;EQ;;;;;;;;;
Rio de Janeiro - ON;RJ;ONRJ;-22§ 54';-43§ 13';-38,479;-21,674;ML;;;;;;;;;
Rio de Janeiro - IBGE;RJ;RIOD;-22§ 49';-43§ 18';-38,325;-21,565;ML;;;;;;;;;
Rio Parana¡ba;MG;MGRP;-19§ 13';-46§ 08';-31,763;-17,201;BL;;;;;;;;;
Rosana;SP;ROSA;-22§ 31';-52§ 57';-30,007;-16,106;BL;;;;;;;;;
Salvador - Porto;BA;SSA1;-12§ 59';-38§ 31';-30,844;-16,625;BL;;;;;;;;;
