Riga	LA	RIGA	56 56	24 3	
Rio Branco	AC	RIOB	-9 58	-67 48	
Rio Paranaíba	MG	MGRP	-19 13	-46 08	
Rio de Janeiro - IBGE	RJ	RIOD	-22 49	-43 18	
Rio de Janeiro - ON	RJ	ONRJ	-22 54	-43 13	
Rosana	SP	ROSA	-22 31	-52 57	
Salvador	BA	SALV	-13 0	-38 30	
Salvador - INCRA	BA	SAVO	-12 56	-38 26	
Salvador - Porto	BA	SSA1	-12 59	-38 31	
Santa Maria	RS	SMAR	-29 43	-53 43	
Santana	AP	APSA	-0 3	-51 10	
Santana - Docas	AP	APS1	-00 04	-51 10	
Santarém	PA	PAST	-2 30	-54 43	
Santarém - INCRA	PA	PASM	-02 26	-54 44	
Simeiz	UK	CRAO	44 24	33 59	
Sobral	CE	CESB	-03 41	-40 20	
Sorocaba	SP	SPSO	-23 29	-47 25	
Sorocaba - UNESP	SP	SPS1	-23 29	-47 25	
Sorriso	MT	MTSR	-12 33	-55 44	
Springbok	SA	SBOK	-29 40	17 52	
Sutherland	SA	SUTH	-32 28	20 48	
Sutherland	SA	SUTM	-32 22	20 48	
São Carlos	SP	EESC	-22 0	-47 54	
São Félix do Araguaia	MT	MTSF	-11 37	-50 40	
São Gabriel da Cachoeira	AM	SAGA	-0 09	-67 3	
São José do Rio Preto	SP	SJRP	-20 47	-49 22	
São José dos Campos	SP	SJSP	-23 12	-45 52	
São Luís	MA	SALU	-2 36	-44 13	
São Paulo	SP	POLI	-23 33	-46 44	
São Raimundo Nonato	PI	PISR	-9 02	-42 42	
Tabatinga	AM	AMTA	-04 13	-69 56	
Tefé	AM	AMTE	-03 21	-64 42	
Tehran	SA	TEHN	35 41	51 20	
Teixeira de Freitas	BA	BATF	-17 33	-39 45	
Teresina	PI	PITN	-05 06	-42 48	
Thohoyandou	SA	TDOU	-23 04	30 23	
Tunduru	TZ	TNDC	-11 03	37 20	
Tupã	SP	SPTU	-21 56	-50 30	
Ubatuba	SP	UBAT	-23 30	-45 7	
Ubatuba (Marégrafo	SP	UBA1	-23 30	-45 7	
Uberlândia - CEMIG	MG	UBER	-18 53	-48 19	
Uberlândia - Rede CEMIG	MG	UBE1	-18 53	-48 19	
Uberlândia - UFU	MG	MGUB	-18 55	-48 15	
Ulundi	SA	ULDI	-28 17	31 25	
Uruaçu	GO	GOUR	-14 31	-49 09	
Varginha	MG	VARG	-21 32	-45 26	
Varginha - CEMIG	MG	MGVA	-21 33	-45 26	
Varginha - Rede CEMIG	MG	MGV1	-21 33	-45 26	
Vila Bela da Santíssima Trindade	MT	MTVB	-15 00	-59 57	
Vitória	ES	CEFE	-20 19	-40 19	
Vitória da Conquista	BA	BAVC	-14 53	-40 48	
Viçosa	MG	VICO	-20 46	-42 52	
Zomba	SA	ZOMB	-15 22	35 19	
LouisianaStateUniversity	UN	1LSU	30 24	-91 11	
NorthwesternStateUniversity	UN	1NSU	31 45	-93 6	
UofLouisiana-Monroe	UN	1ULM	32 32	-92 5	
2999Continuous	UN	299C	64 2	-142 5	
34A1	UN	34A1	41 50	-119 39	
34A2	UN	34A2	41 51	-119 36	
34A3	UN	34A3	41 51	-119 35	
34A4	UN	34A4	41 52	-119 30	
34NO	UN	34NO	41 56	-119 43	
34SO	UN	34SO	41 48	-119 42	
7OAK	UN	7OAK	37 36	-114 46	
SevenOaksDam	UN	7ODM	34 7	-117 6	
AASI	UN	AASI	68 43	-52 48	
AtkaIslandAK2007	UN	AB01	52 13	-174 12	
Nikolski__AK2007	UN	AB02	52 58	-168 51	
Savoonga__AK2007	UN	AB04	63 39	-170 34	
FalsePass_AK2005	UN	AB06	54 53	-163 25	
SandPoint_AK2004	UN	AB07	55 21	-160 29	
Mekoryuk__AK2008	UN	AB08	60 23	-166 12	
Razorback_AK2007	UN	AB09	65 37	-168 4	
Nome_AnvilAK2006	UN	AB11	64 34	-165 22	
Platinum__AK2007	UN	AB12	58 57	-161 45	
ChignikLgnAK2006	UN	AB13	56 18	-158 30	
DillinghamAK2007	UN	AB14	59 6	-159 5	
Nyac_Gold_AK2006	UN	AB15	61 2	-159 53	
UnalakleetAK2008	UN	AB17	63 53	-160 42	
Kotzebue__AK2007	UN	AB18	66 52	-162 37	
AdakIAleutAK2006	UN	AB21	51 52	-176 40	
IlliamnaHPAK2006	UN	AB22	59 54	-154 42	
Tatalina__AK2008	UN	AB25	62 56	-156 1	
Kobuk_VallAK2007	UN	AB27	67 3	-156 54	
Rainy_PassAK2006	UN	AB28	62 6	-152 49	
Coldfoot__AK2006	UN	AB33	67 15	-150 10	
Yakataga__AK2007	UN	AB35	60 5	-142 23	
Manley_HotAK2006	UN	AB36	65 2	-150 45	
Paxson2___AK2004	UN	AB37	62 58	-145 27	
FortYukon_AK2008	UN	AB39	66 34	-145 13	
EagleAirptAK2006	UN	AB41	64 47	-141 9	
Akwe_Peak_AK2006	UN	AB42	59 20	-138 54	
CapeSpenceAK2007	UN	AB43	58 12	-136 38	
SkagwayUSCAK2005	UN	AB44	59 32	-135 14	
SagRivrDOTAK2007	UN	AB45	68 46	-148 52	
ArcticVilgAK2007	UN	AB46	68 7	-145 34	
PortAlexanAK2005	UN	AB48	56 15	-134 39	
KlawockAirAK2006	UN	AB49	55 35	-133 4	
MendenhallAK2005	UN	AB50	58 25	-134 33	
PetersburgAK2005	UN	AB51	56 48	-132 55	
CrystalMtnAK2011	UN	AB53	56 35	-132 52	
AbbottPeak	UN	ABBZ	-77 27	166 55	
AeroportduRaizet-LESABYMES-MitioFrance	UN	ABMF	16 16	-61 32	
AMBO	UN	ABOO	8 60	37 49	
Ambohimpanompo-Madagascar	UN	ABPO	-19 1	47 14	
ABRN	UN	ABRN	42 46	-120 6	
Anegada	UN	ABVI	18 44	-64 20	
AkhiokCorpAK2005	UN	AC02	56 57	-154 11	
AnchorPnt_AK2007	UN	AC03	59 46	-151 52	
BradleyLakAK2005	UN	AC06	59 46	-150 53	
Buckland__AK2007	UN	AC07	65 58	-161 17	
CapDouglasAK2007	UN	AC08	58 56	-153 39	
KayakIsl__AK2007	UN	AC09	59 52	-144 31	
CpSarichefAK2008	UN	AC10	54 31	-164 53	
ChickaloonAK2005	UN	AC11	61 48	-148 20	
ChernaburaAK2008	UN	AC12	54 50	-159 35	
ChirikofIsAK2008	UN	AC13	55 49	-155 37	
EstherIsleAK2007	UN	AC14	60 51	-147 60	
CooperLndgAK2005	UN	AC15	60 29	-149 43	
DeepWater_AK2007	UN	AC16	60 31	-148 6	
DriftRiverAK2006	UN	AC17	60 40	-152 24	
Ushagat_IsAK2008	UN	AC18	58 56	-152 15	
FarewellMtAK2008	UN	AC19	62 31	-153 36	
Gridwood__AK2005	UN	AC20	60 56	-149 21	
PerryvilleAK2006	UN	AC21	55 55	-159 8	
Soldotna__AK2007	UN	AC23	60 29	-150 53	
KingSalmonAK2006	UN	AC24	58 41	-156 39	
King_Cove_AK2005	UN	AC25	55 5	-162 19	
Cape_Gull_AK2008	UN	AC26	58 13	-154 9	
AC27MNeil_AK2004	UN	AC27	59 15	-154 10	
NagaiIslndAK2008	UN	AC28	55 5	-160 3	
middleton_AK2014	UN	AC29	59 26	-146 20	
MontaguIslAK2007	UN	AC30	59 51	-147 44	
Bald_Head_AK2006	UN	AC31	64 38	-162 14	
Mt_SusitnaAK2006	UN	AC32	61 28	-150 44	
TokoDenaliAK2007	UN	AC33	62 40	-150 41	
OldHarbor_AK2006	UN	AC34	57 13	-153 17	
PetrofLakeAK2006	UN	AC35	59 23	-150 48	
MoosePointAK2008	UN	AC36	60 57	-150 37	
LakeClark_AK2007	UN	AC37	60 26	-153 52	
Quartz_CrkAK2005	UN	AC38	57 45	-153 21	
ShuyakIsSPAK2006	UN	AC39	58 37	-152 24	
PortHeidenAK2007	UN	AC40	56 56	-158 37	
PortMollerAK2006	UN	AC41	55 55	-160 24	
SanakIslndAK2007	UN	AC42	54 28	-162 47	
Seal_RocksAK2007	UN	AC43	59 31	-149 38	
ArcticVly_AK2008	UN	AC44	61 15	-149 34	
SitkinakIsAK2006	UN	AC45	56 34	-154 11	
Skwentna_RAK2006	UN	AC46	61 59	-151 31	
SlopeMtn__AK2007	UN	AC47	60 5	-152 37	
NakedIsl__AK2007	UN	AC48	60 39	-147 21	
BaldyMtn__AK2007	UN	AC50	65 33	-164 34	
StrandlineAK2007	UN	AC51	61 30	-151 50	
PilotPointAK2007	UN	AC52	57 34	-157 34	
Willow_CrkAK2006	UN	AC53	61 46	-150 4	
Yentna_RvrAK2006	UN	AC55	62 23	-151 46	
ThompsonPaAK2006	UN	AC57	61 8	-145 45	
StPaulIsldAK2008	UN	AC58	57 9	-170 13	
AC59Ursus_AK2004	UN	AC59	59 34	-153 35	
Westeast__AK2008	UN	AC60	52 43	174 5	
ChickenM61AK2006	UN	AC61	64 2	-142 5	
DenliHwy32AK2004	UN	AC62	63 5	-146 19	
ATTPS_____AK2004	UN	AC63	63 30	-145 51	
MtnDrumVP_AK2004	UN	AC64	62 43	-144 18	
Mentasta__AK2004	UN	AC65	62 50	-143 42	
AmchitkaIsAK2006	UN	AC66	51 23	179 18	
PillarMtn_AK2006	UN	AC67	57 47	-152 26	
Tetlin____AK2006	UN	AC69	63 7	-142 2	
Brokebits_AK2003	UN	AC70	63 18	-148 11	
DeltaJunc_AK2003	UN	AC71	64 3	-145 43	
DonnellyC_AK2002	UN	AC72	63 42	-145 53	
Cantwello_AK2002	UN	AC74	63 28	-148 48	
Hurricane_AK2002	UN	AC75	62 60	-149 37	
LogCabin__AK2008	UN	AC76	63 2	-143 16	
Sourdough_AK2003	UN	AC77	62 41	-145 26	
Tetlin_2__AK2009	UN	AC78	63 7	-142 2	
Montague2_AK2010	UN	AC79	59 60	-147 24	
YentnaRvr2AK2010	UN	AC80	62 24	-151 46	
Acapulco	UN	ACAP	16 49	-99 51	
Achotines	UN	ACHO	7 25	-80 10	
ACP1	UN	ACP1	9 22	-79 57	
ACP6	UN	ACP6	9 14	-79 24	
ACPM	UN	ACPM	-33 27	-70 32	
ACRA	UN	ACRA	5 33	0 12	
AlisoCreekCA2013	UN	ACSB	33 16	-117 27	
AlumCreek_OH2006	UN	ACSO	40 14	-82 59	
AlisoCreekCA2016	UN	ACSX	33 16	-117 27	
ADD0	UN	ADD0	9 2	38 46	
AddisAbabaObservatory	UN	ADD1	9 2	38 46	
AustraliaNGAcollocated	UN	ADE1	-34 44	138 39	
AustraliaNGAcollocated	UN	ADE2	-34 44	138 39	
AddisAbabaUniversity	UN	ADIS	9 2	38 46	
ADLL	UN	ADLL	42 12	-120 0	
AGGO/Argentina	UN	AGGO	-34 52	-58 8	
AGMT_SCGN_CS1999	UN	AGMT	34 36	-116 26	
AGPR_PRSN_US2017	UN	AGPR	18 28	-67 7	
AGUA	UN	AGUA	34 15	-112 4	
AHID_EBRY_ID2000	UN	AHID	42 46	-111 4	
Ahua	UN	AHUP	19 23	-155 16	
ElSalvadorInternationalAirport	UN	AIES	13 27	-89 3	
Ainapo	UN	AINP	19 22	-155 27	
AIRA	UN	AIRA	31 49	130 36	
TribhuvanInternationalAirport	UN	AIRP	27 42	85 21	
AIrStudios	UN	AIRS	16 44	-62 13	
AnnetteIsland1	UN	AIS1	55 4	-131 36	
Ajaccio	UN	AJAC	41 56	8 46	
AkutanGreenGrass	UN	AKGG	54 12	-165 60	
AkutanLongValley	UN	AKLV	54 10	-165 57	
AkutanMorgan	UN	AKMO	54 5	-166 1	
AkutanReefBight	UN	AKRB	54 8	-166 4	
AlalaLavaFlow	UN	ALAL	19 23	-155 35	
Alamo	UN	ALAM	37 21	-115 10	
AlbertHead	UN	ALBH	48 23	-123 29	
AliefKerrHighSchool	UN	ALEF	29 42	-95 38	
ALEAPermanent	UN	ALEP	19 32	-155 39	
Alftadalur	UN	ALFD	64 59	-16 2	
ALGOCACS-ACP	UN	ALGO	45 57	-78 4	
AliceSpringsAU012	UN	ALIC	-23 40	133 53	
AeroAlmirCOL2009	UN	ALPA	11 32	-72 55	
AlamoPowerPlant	UN	ALPP	34 49	-118 42	
Alert	UN	ALRT	82 30	-62 20	
AlsekContinuous	UN	ALSC	59 11	-138 19	
Alta-Utah	UN	ALUT	40 35	-111 37	
AlWajh	UN	ALWJ	26 27	36 23	
AlternateMasterClock	UN	AMC2	38 48	-104 31	
IslaIncacahuasi	UN	AMDE	-20 14	-67 38	
AmundsenScottSouthPoleStation	UN	AMU2	-89 60	-78 51	
ANA1_SCGN_CS2002	UN	ANA1	34 1	-119 22	
Angleton1	UN	ANG1	29 18	-95 29	
Angol	UN	ANGO	-37 48	-72 42	
Anipeahi	UN	ANIP	19 24	-155 31	
Ankober	UN	ANKO	9 35	39 45	
Ankara/Turkey	UN	ANKR	39 53	32 46	
Annapolis5	UN	ANP5	39 1	-76 37	
Annapolis6	UN	ANP6	39 1	-76 37	
ANTB	UN	ANTB	39 51	-117 22	
Antuco	UN	ANTC	-37 20	-71 32	
ANTE	UN	ANTE	40 9	-118 10	
ANTV	UN	ANTV	39 39	-120 17	
AllenOsborneandAssociates	UN	AOA1	34 9	-118 50	
AreciboObservatoryPuertoRico	UN	AOPR	18 21	-66 45	
APEC_ApueECU2017	UN	APEC	0 20	-78 33	
Apex	UN	APEX	36 19	-114 56	
ApuaPoint	UN	APNT	19 16	-155 12	
Area_27_CPCA2013	UN	AR27	33 21	-117 19	
Area_53_CPCA2013	UN	AR53	33 23	-117 29	
ARCH	UN	ARCH	38 53	-109 45	
Arauco	UN	ARCO	-37 12	-73 14	
Arequipa	UN	AREG	-16 28	-71 30	
ArequipaLaserStation	UN	AREQ	-16 28	-71 30	
ArequipaLaserStation	UN	AREV	-16 28	-71 30	
ArgusRange	UN	ARGU	36 3	-117 31	
ArrivalHeightsGNSSStation	UN	ARHT	-77 50	166 40	
ArvinMaintenanceYard1	UN	ARM1	35 12	-118 55	
ArvinMaintenanceYard2	UN	ARM2	35 12	-118 55	
